scientific_name,title,author,license,original_url,card_url
Claytonia virginica,"Spring Beauty - Claytonia virginica, Green Ridge State Forest, Flintstone, Maryland",Judy Gallagher,CC BY 2.0,https://www.flickr.com/photos/52450054@N04/40871192305,https://live.staticflickr.com/954/40871192305_ea8c28bd46_z.jpg
Clethra alnifolia,clethra alnifolia,Michael Chassé,CC BY-NC-ND 4.0,https://www.inaturalist.org/observations/30462946,https://inaturalist-open-data.s3.amazonaws.com/photos/47595346/medium.jpg
Coccoloba diversifolia,coccoloba diversifolia,Douglas Goldman,CC BY-SA 4.0,https://www.inaturalist.org/observations/106036762,https://inaturalist-open-data.s3.amazonaws.com/photos/178049907/medium.jpg
Coccoloba uvifera,coccoloba uvifera,Stephanie Michelle Soto,CC BY-NC 4.0,https://www.inaturalist.org/observations/1511447,https://inaturalist-open-data.s3.amazonaws.com/photos/1872315/medium.jpg
Conoclinium coelestinum,conoclinium coelestinum,Alicia Ballard,CC BY 4.0,https://www.inaturalist.org/observations/196260699,https://inaturalist-open-data.s3.amazonaws.com/photos/345484501/medium.jpg
Coreopsis grandiflora,coreopsis grandiflora,Theo Witsell,CC BY-NC 4.0,https://www.inaturalist.org/observations/80475822,https://inaturalist-open-data.s3.amazonaws.com/photos/131905514/medium.jpg
Coreopsis lanceolata,Coreopsis lanceolata 'Sterntaler' (Mädchenauge),enbodenumer,CC BY-NC-SA 2.0,https://www.flickr.com/photos/30779226@N06/18867665505,https://live.staticflickr.com/3714/18867665505_c502146c33_z.jpg
Coreopsis major,coreopsis major,Becky Dill,CC0,https://www.inaturalist.org/observations/83836527,https://inaturalist-open-data.s3.amazonaws.com/photos/137724340/medium.jpg
Cornus alternifolia,Cornus alternifolia (Pagoda Dogwood),Plant Image Library,CC BY-SA 2.0,https://www.flickr.com/photos/138014579@N08/36454470925,https://live.staticflickr.com/4352/36454470925_73747e3400_z.jpg
Cornus amomum,cornus amomum,symmonsa,CC BY-NC 4.0,https://www.inaturalist.org/observations/318922666,https://inaturalist-open-data.s3.amazonaws.com/photos/576446548/medium.jpg
Cornus canadensis,cornus canadensis,Tom Scavo,CC BY 4.0,https://www.inaturalist.org/observations/305751142,https://inaturalist-open-data.s3.amazonaws.com/photos/551310736/medium.jpg
Cornus florida,cornus florida,Emma Gomez,CC BY-NC 4.0,https://www.inaturalist.org/observations/110394610,https://inaturalist-open-data.s3.amazonaws.com/photos/186221436/medium.jpg
Cornus sericea,Cornus sericea 'Bailey' 01,Scott Zona,CC BY-NC 2.0,https://www.flickr.com/photos/12017190@N06/52656059471,https://live.staticflickr.com/65535/52656059471_6bfa804b97_z.jpg
Corylus americana,Corylus americana,dogtooth77,CC BY-NC-SA 2.0,https://www.flickr.com/photos/53817483@N00/50049085632,https://live.staticflickr.com/65535/50049085632_14e09849c9_z.jpg
Dasylirion texanum,dasylirion texanum,spiderlover111,CC BY-NC 4.0,https://www.inaturalist.org/observations/281375626,https://inaturalist-open-data.s3.amazonaws.com/photos/505442437/medium.jpg
Datura wrightii,Sacred Datura (Datura wrightii) on Pinto Basin Road,Joshua Tree National Park,Public Domain Mark 1.0,https://www.flickr.com/photos/115357548@N08/49823075302,https://live.staticflickr.com/65535/49823075302_c88e368f0c_z.jpg
Delphinium glaucum,delphinium glaucum,Rich Kostecke,CC BY-NC 4.0,https://www.inaturalist.org/observations/29145234,https://inaturalist-open-data.s3.amazonaws.com/photos/45473793/medium.jpg
Deschampsia cespitosa,Deschampsia cespitosa,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/27916531492,https://live.staticflickr.com/7295/27916531492_c6d103f57b_z.jpg
Desmanthus illinoensis,desmanthus illinoensis,Anita E Shaul,CC BY-NC 4.0,https://www.inaturalist.org/observations/27727551,https://inaturalist-open-data.s3.amazonaws.com/photos/43170758/medium.jpeg
