scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Astragalus missouriensis,,,,,,,,,,,,,,,,,,,,,,,,
Athyrium filix-femina,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex canescens,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex lentiformis,,,,,,,,,,,,,,,,,,,,,,,,
Avicennia germinans,,,,,,,,,,,,,,,,,,,,,,,,
Baccharis pilularis,,,,,,,,,,,,,,,,,,,,,,,,
Baccharis salicifolia,,,,,,,,,,,,,,,,,,,,,,,,
Baccharis sarothroides,,,,,,,,,,,,,,,,,,,,,,,,
Baileya multiradiata,,,,,,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,,,,,,,,,,,,,,,,,,,,,,,,
Baptisia alba,,,,,,,,,,,,,,,,,,,,,,,,
Baptisia australis,,,,,,,,,,,,,,,,,,,,,,,,
Baptisia bracteata,,,,,,,,,,,,,,,,,,,,,,,,
Baptisia tinctoria,,,,,,,,,,,,,,,,,,,,,,,,
Berberis haematocarpa,,,,,,,,,,,,,,,,,,,,,,,,
Berberis repens,,,,,,,,,,,,,,,,,,,,,,,,
Berberis trifoliolata,,,,,,,,,,,,,,,,,,,,,,,,
Berlandiera lyrata,,,,,,,,,,,,,,,,,,,,,,,,
Betula alleghaniensis,,,,,,,,,,,,,,,,,,,,,,,,
Betula lenta,,,,,,,,,,,,,,,,,,,,,,,,
Betula nigra,,,,,,,,,,,,,,,,,,,,,,,,
Betula occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Betula papyrifera,,,,,,,,,,,,,,,,,,,,,,,,
Bidens alba,,,,,,,,,,,,,,,,,,,,,,,,
Bidens cernua,,,,,,,,,,,,,,,,,,,,,,,,
Bidens micrantha,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum occidentale,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum spicant,,,,,,,,,,,,,,,,,,,,,,,,
Blephilia ciliata,,,,,,,,,,,,,,,,,,,,,,,,
Boehmeria cylindrica,,,,,,,,,,,,,,,,,,,,,,,,
Boltonia asteroides,,,,,,,,,,,,,,,,,,,,,,,,
Bouteloua curtipendula,,,,,,,,,,,,,,,,,,,,,,,,
Bouteloua dactyloides,,,,,,,,,,,,,,,,,,,,,,,,
Bouteloua gracilis,,,,,,,,,,,,,,,,,,,,,,,,
Bouteloua hirsuta,,,,,,,,,,,,,,,,,,,,,,,,
Bouteloua rigidiseta,,,,,,,,,,,,,,,,,,,,,,,,
