scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Linum berlandieri,,,,,,,,,,,,,,,,,,,,,,,,
Linum lewisii,,,,,,,,,,,,,,,,,,,,,,,,
Lipochaeta kamolensis,,,,,,,,,,,,,,,,,,,,,,,,
Liquidambar styraciflua,,,,,,,,,,,,,,,,,,,,,,,,
Liriodendron tulipifera,,,,,,,,,,,,,,,,,,,,,,,,
Lithophragma parviflorum,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia cardinalis,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia dortmanna,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia fulgens,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia inflata,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia kalmii,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia nuttallii,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia puberula,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia siphilitica,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia spicata,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium dasycarpum,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium dissectum,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium nevadense,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium nudicaule,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium utriculatum,,,,,,,,,,,,,,,,,,,,,,,,
Lonchocarpus domingensis,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera arizonica,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera ciliosa,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera dioica,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera hispidula,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera involucrata,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera sempervirens,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera subspicata,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera utahensis,,,,,,,,,,,,,,,,,,,,,,,,
Ludwigia palustris,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus albicaulis,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus albifrons,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus arboreus,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus argenteus,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus bicolor,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus excubitus,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus latifolius,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus nootkatensis,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus perennis,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus polyphyllus,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus sericeus,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus succulentus,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus texensis,,,,,,,,,,,,,,,,,,,,,,,,
Luzula comosa,,,,,,,,,,,,,,,,,,,,,,,,
Lycium andersonii,,,,,,,,,,,,,,,,,,,,,,,,
Lycium californicum,,,,,,,,,,,,,,,,,,,,,,,,
Lycium cooperi,,,,,,,,,,,,,,,,,,,,,,,,
Lycium fremontii,,,,,,,,,,,,,,,,,,,,,,,,
Lyonia lucida,,,,,,,,,,,,,,,,,,,,,,,,
Lyonothamnus floribundus,,,,,,,,,,,,,,,,,,,,,,,,
Lysichiton americanus,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia ciliata,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia terrestris,,,,,,,,,,,,,,,,,,,,,,,,
Machaerina angustifolia,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia acuminata,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia grandiflora,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Mahonia aquifolium,,,,,,,,,,,,,,,,,,,,,,,,
Mahonia fremontii,,,,,,,,,,,,,,,,,,,,,,,,
Mahonia nervosa,,,,,,,,,,,,,,,,,,,,,,,,
Mahonia nevinii,,,,,,,,,,,,,,,,,,,,,,,,
Mahonia repens,,,,,,,,,,,,,,,,,,,,,,,,
Mahonia trifoliolata,,,,,,,,,,,,,,,,,,,,,,,,
Maianthemum canadense,,,,,,,,,,,,,,,,,,,,,,,,
Maianthemum dilatatum,,,,,,,,,,,,,,,,,,,,,,,,
Maianthemum racemosum,,,,,,,,,,,,,,,,,,,,,,,,
Maianthemum stellatum,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fremontii,,,,,,,,,,,,,,,,,,,,,,,,
Malosma laurina,,,,,,,,,,,,,,,,,,,,,,,,
Marah fabaceus,,,,,,,,,,,,,,,,,,,,,,,,
Matteuccia struthiopteris,,,,,,,,,,,,,,,,,,,,,,,,
Melampodium divaricatum,,,,,,,,,,,,,,,,,,,,,,,,
Melampodium leucanthum,,,,,,,,,,,,,,,,,,,,,,,,
Melicope knudsenii,,,,,,,,,,,,,,,,,,,,,,,,
Mentha arvensis,,,,,,,,,,,,,,,,,,,,,,,,
Mentha canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,,,,,,,,,,,,,,,,,,,,,,,,
Menziesia ferruginea,,,,,,,,,,,,,,,,,,,,,,,,
Mertensia ciliata,,,,,,,,,,,,,,,,,,,,,,,,
Mertensia lanceolata,,,,,,,,,,,,,,,,,,,,,,,,
Mertensia paniculata,,,,,,,,,,,,,,,,,,,,,,,,
Mertensia virginica,,,,,,,,,,,,,,,,,,,,,,,,
Metopium toxiferum,,,,,,,,,,,,,,,,,,,,,,,,
Metrosideros collina,,,,,,,,,,,,,,,,,,,,,,,,
Metrosideros polymorpha,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa aculeaticarpa,,,,,,,,,,,,,,,,,,,,,,,,
Mimulus aurantiacus,,,,,,,,,,,,,,,,,,,,,,,,
Mimulus cardinalis,,,,,,,,,,,,,,,,,,,,,,,,
Mimulus guttatus,,,,,,,,,,,,,,,,,,,,,,,,
Mimulus ringens,,,,,,,,,,,,,,,,,,,,,,,,
Mirabilis laevis,,,,,,,,,,,,,,,,,,,,,,,,
Mirabilis multiflora,,,,,,,,,,,,,,,,,,,,,,,,
Mitchella repens,,,,,,,,,,,,,,,,,,,,,,,,
Mitella diphylla,,,,,,,,,,,,,,,,,,,,,,,,
Mitella nuda,,,,,,,,,,,,,,,,,,,,,,,,
Mitella pentandra,,,,,,,,,,,,,,,,,,,,,,,,
Monarda citriodora,,,,,,,,,,,,,,,,,,,,,,,,
Monarda didyma,,,,,,,,,,,,,,,,,,,,,,,,
Monarda fistulosa,,,,,,,,,,,flower-or-herb,,,,,,,,,,,,,
Monarda punctata,,,,,,,,,,,,,,,,,,,,,,,,
Monardella villosa,,,,,,,,,,,,,,,,,,,,,,,,
Morella cerifera,,,,,,,,,,,,,,,,,,,,,,,,
Morus rubra,,,,,,,,,,,,,,,,,,,,,,,,
Muhlenbergia capillaris,,,,,,,,,,,,,,,,,,,,,,,,
Muhlenbergia emersleyi,,,,,,,,,,,,,,,,,,,,,,,,
Muhlenbergia lindheimeri,,,,,,,,,,,,,,,,,,,,,,,,
Muhlenbergia porteri,,,,,,,,,,,,,,,,,,,,,,,,
Muhlenbergia reverchonii,,,,,,,,,,,,,,,,,,,,,,,,
Muhlenbergia rigens,,,,,,,,,,,,,,,,,,,,,,,,
Myoporum sandwicense,,,,,,,,,,,,,,,,,,,,,,,,
Myosotis alpestris,,,,,,,,,,,,,,,,,,,,,,,,
Myosotis laxa,,,,,,,,,,,,,,,,,,,,,,,,
Myrica californica,,,,,,,,,,,,,,,,,,,,,,,,
Myrica cerifera,,,,,,,,,,,,,,,,,,,,,,,,
Myrica pensylvanica,,,,,,,,,,,,,,,,,,,,,,,,
Myrsine lessertiana,,,,,,,,,,,,,,,,,,,,,,,,
Nassella pulchra,,,,,,,,,,,,,,,,,,,,,,,,
Nassella tenuissima,,,,,,,,,,,,,,,,,,,,,,,,
Nemophila menziesii,,,,,,,,,,,,,,,,,,,,,,,,
Nephrolepis exaltata,,,,,,,,,,,,,,,,,,,,,,,,
Nolina bigelovii,,,,,,,,,,,,,,,,,,,,,,,,
Nolina microcarpa,,,,,,,,,,,,,,,,,,,,,,,,
Nolina texana,,,,,,,,,,,,,,,,,,,,,,,,
Nothocestrum latifolium,,,,,,,,,,,,,,,,,,,,,,,,
Nototrichium humile,,,,,,,,,,,,,,,,,,,,,,,,
Nymphaea odorata,,,,,,,,,,,,,,,,,,,,,,,,
Nyssa sylvatica,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia haleakalae,,,,,,,,,,,,,,,,,,,,,,,,
Oemleria cerasiformis,,,,,,,,,,,,,,,,,,,,,,,,
Oenanthe sarmentosa,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera biennis,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera caespitosa,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera deltoides,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera elata,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera fruticosa,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera macrocarpa,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera speciosa,,,,,,,,,,,,,,,,,,,,,,,,
Oenothera tetragona,,,,,,,,,,,,,,,,,,,,,,,,
Onoclea sensibilis,,,,,,,,,,,,,,,,,,,,,,,,
Oplopanax horridus,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia basilaris,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia ellisiana,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia engelmannii,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia fragilis,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia humifusa,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia leptocaulis,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia littoralis,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia macrocentra,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia macrorhiza,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia phaeacantha,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia polyacantha,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia santa-rita,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia stricta,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia violacea,,,,,,,,,,,,,,,,,,,,,,,,
Oryzopsis hymenoides,,,,,,,,,,,,,,,,,,,,,,,,
Osmorhiza berteroi,,,,,,,,,,,,,,,,,,,,,,,,
Osmorhiza chilensis,,,,,,,,,,,,,,,,,,,,,,,,
Osmorhiza claytonii,,,,,,,,,,,,,,,,,,,,,,,,
Osmorhiza occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Osmunda cinnamomea,,,,,,,,,,,,,,,,,,,,,,,,
Osmunda claytoniana,,,,,,,,,,,,,,,,,,,,,,,,
Osmunda regalis,,,,,,,,,,,,,,,,,,,,,,,,
Ostrya virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Oxalis oregana,,,,,,,,,,,,,,,,,,,,,,,,
Oxydendrum arboreum,,,,,,,,,,,,,,,,,,,,,,,,
Oxyria digyna,,,,,,,,,,,,,,,,,,,,,,,,
Oxytropis campestris,,,,,,,,,,,,,,,,,,,,,,,,
Oxytropis lambertii,,,,,,,,,,,,,,,,,,,,,,,,
Oxytropis sericea,,,,,,,,,,,,,,,,,,,,,,,,
Pachysandra procumbens,,,,,,,,,,,,,,,,,,,,,,,,
Pachystima myrsinites,,,,,,,,,,,,,,,,,,,,,,,,
Packera aurea,,,,,,,,,,,,,,,,,,,,,,,,
Packera glabella,,,,,,,,,,,,,,,,,,,,,,,,
Packera obovata,,,,,,,,,,,,,,,,,,,,,,,,
Paeonia brownii,,,,,,,,,,,,,,,,,,,,,,,,
Paeonia californica,,,,,,,,,,,,,,,,,,,,,,,,
Palafoxia feayi,,,,,,,,,,,,,,,,,,,,,,,,
Panicum amarum,,,,,,,,,,,,,,,,,,,,,,,,
Panicum rigidulum,,,,,,,,,,,,,,,,,,,,,,,,
Panicum torridum,,,,,,,,,,,,,,,,,,,,,,,,
Panicum virgatum,,,,,,,,,,,,,,,,,,,,,,,,
Parkinsonia florida,,,,,,,,,,,,,,,,,,,,,,,,
Parkinsonia microphylla,,,,,,,,,,,,,,,,,,,,,,,,
Parnassia asarifolia,,,,,,,,,,,,,,,,,,,,,,,,
Parnassia fimbriata,,,,,,,,,,,,,,,,,,,,,,,,
Parnassia glauca,,,,,,,,,,,,,,,,,,,,,,,,
Parnassia grandifolia,,,,,,,,,,,,,,,,,,,,,,,,
Parnassia palustris,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium incanum,,,,,,,,,,,,,,,,,,,,,,,,
Parthenocissus quinquefolia,,,,,,,,,,,,,,,,,,,,,,,,
Pascopyrum smithii,,,,,,,,,,,,,,,,,,,,,,,,
Paspalum floridanum,,,,,,,,,,,,,,,,,,,,,,,,
Paspalum vaginatum,,,,,,,,,,,,,,,,,,,,,,,,
Passiflora incarnata,,,,,,,,,,,,,,,,,,,,,,,,
Passiflora suberosa,,,,,,,,,,,,,,,,,,,,,,,,
Pedicularis bracteosa,,,,,,,,,,,,,,,,,,,,,,,,
Pedicularis groenlandica,,,,,,,,,,,,,,,,,,,,,,,,
Pedicularis sudetica,,,,,,,,,,,,,,,,,,,,,,,,
Pediomelum argophyllum,,,,,,,,,,,,,,,,,,,,,,,,
Pediomelum cuspidatum,,,,,,,,,,,,,,,,,,,,,,,,
Pediomelum esculentum,,,,,,,,,,,,,,,,,,,,,,,,
Peltandra virginica,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon ambiguus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon angustifolius,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon australis,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon baccharifolius,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon barbatus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon calycosus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon cardwellii,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon centranthifolius,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon cobaea,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon comarrhenus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon davidsonii,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon digitalis,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon eatonii,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon fruticosus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon grandiflorus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon heterophyllus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon hirsutus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon multiflorus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon palmeri,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon parryi,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon procerus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon pseudospectabilis,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon rostriflorus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon serrulatus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon spectabilis,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon strictus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon superbus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon tenuis,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon thurberi,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon tubaeflorus,,,,,,,,,,,,,,,,,,,,,,,,
Penstemon virens,,,,,,,,,,,,,,,,,,,,,,,,
Pentaphylloides floribunda,,,,,,,,,,,,,,,,,,,,,,,,
Peperomia obtusifolia,,,,,,,,,,,,,,,,,,,,,,,,
Perideridia gairdneri,,,,,,,,,,,,,,,,,,,,,,,,
Perideridia kelloggii,,,,,,,,,,,,,,,,,,,,,,,,
Perityle emoryi,,,,,,,,,,,,,,,,,,,,,,,,
Persea borbonia,,,,,,,,,,,,,,,,,,,,,,,,
Persea palustris,,,,,,,,,,,,,,,,,,,,,,,,
Persicaria amphibia,,,,,,,,,,,,,,,,,,,,,,,,
Persicaria hydropiperoides,,,,,,,,,,,,,,,,,,,,,,,,
Persicaria virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Phacelia campanularia,,,,,,,,,,,,,,,,,,,,,,,,
Phacelia tanacetifolia,,,,,,,,,,,,,,,,,,,,,,,,
Phalaris arundinacea,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphus lewisii,,,,,,,,,,,,,,,,,,,,,,,,
Philodendron hederaceum,,,,,,,,,,,,,,,,,,,,,,,,
Philodendron scandens,,,,,,,,,,,,,,,,,,,,,,,,
Phlox diffusa,,,,,,,,,,,,,,,,,,,,,,,,
Phlox divaricata,,,,,,,,,,,,,,,,,,,,,,,,
Phlox drummondii,,,,,,,,,,,,,,,,,,,,,,,,
Phlox multiflora,,,,,,,,,,,,,,,,,,,,,,,,
Phlox paniculata,,,,,,,,,,,,,,,,,,,,,,,,
Phlox pilosa,,,,,,,,,,,,,,,,,,,,,,,,
Phlox sibirica,,,,,,,,,,,,,,,,,,,,,,,,
Phlox stolonifera,,,,,,,,,,,,,,,,,,,,,,,,
Phlox subulata,,,,,,,,,,,,,,,,,,,,,,,,
Phyla nodiflora,,,,,,,,,,,,,,,,,,,,,,,,
Phyllodoce empetriformis,,,,,,,,,,,,,,,,,,,,,,,,
Physaria bellii,,,,,,,,,,,,,,,,,,,,,,,,
Physaria newberryi,,,,,,,,,,,,,,,,,,,,,,,,
Physocarpus capitatus,,,,,,,,,,,,,,,,,,,,,,,,
Physocarpus monogynus,,,,,,,,,,,,,,,,,,,,,,,,
Physocarpus opulifolius,,,,,,,,,,,,,,,,,,,,,,,,
Physostegia virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Picea engelmannii,,,,,,,,,,,,,,,,,,,,,,,,
Picea glauca,,,,,,,,,,,,,,,,,,,,,,,,
Picea mariana,,,,,,,,,,,,,,,,,,,,,,,,
Picea pungens,,,,,,,,,,,,,,,,,,,,,,,,
Picea sitchensis,,,,,,,,,,,,,,,,,,,,,,,,
Pilea peploides,,,,,,,,,,,,,,,,,,,,,,,,
Pilea pumila,,,,,,,,,,,,,,,,,,,,,,,,
Pimenta racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Pinus banksiana,,,,,,,,,,,,,,,,,,,,,,,,
Pinus clausa,,,,,,,,,,,,,,,,,,,,,,,,
Pinus contorta,,,,,,,,,,,,,,,,,,,,,,,,
Pinus edulis,,,,,,,,,,,,,,,,,,,,,,,,
Pinus elliottii,,,,,,,,,,,,,,,,,,,,,,,,
Pinus flexilis,,,,,,,,,,,,,,,,,,,,,,,,
Pinus glabra,,,,,,,,,,,,,,,,,,,,,,,,
Pinus palustris,,,,,,,,,,,,,,,,,,,,,,,,
Pinus ponderosa,,,,,,,,,,,,,,,,,,,,,,,,
Pinus resinosa,,,,,,,,,,,,,,,,,,,,,,,,
Pinus strobus,,,,,,,,,,,,,,,,,,,,,,,,
Pinus taeda,,,,,,,,,,,,,,,,,,,,,,,,
Pinus virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Pipturus albidus,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia aculeata,,,,,,,,,,,,,,,,,,,,,,,,
Pittosporum hosmeri,,,,,,,,,,,,,,,,,,,,,,,,
Pityopsis graminifolia,,,,,,,,,,,,,,,,,,,,,,,,
Platanus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Platanus racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Platanus wrightii,,,,,,,,,,,,,,,,,,,,,,,,
Pleomele auwahiensis,,,,,,,,,,,,,,,,,,,,,,,,
Pleomele hawaiiensis,,,,,,,,,,,,,,,,,,,,,,,,
Pluchea carolinensis,,,,,,,,,,,,,,,,,,,,,,,,
Pluchea odorata,,,,,,,,,,,,,,,,,,,,,,,,
Plumeria obtusa,,,,,,,,,,,,,,,,,,,,,,,,
Podophyllum peltatum,,,,,,,,,,,,,,,,,,,,,,,,
Polemonium boreale,,,,,,,,,,,,,,,,,,,,,,,,
Polemonium foliosissimum,,,,,,,,,,,,,,,,,,,,,,,,
Polemonium occidentale,,,,,,,,,,,,,,,,,,,,,,,,
Polemonium pulcherrimum,,,,,,,,,,,,,,,,,,,,,,,,
Polemonium reptans,,,,,,,,,,,,,,,,,,,,,,,,
Polemonium viscosum,,,,,,,,,,,,,,,,,,,,,,,,
Polygonatum biflorum,,,,,,,,,,,,,,,,,,,,,,,,
Polygonatum pubescens,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum pensylvanicum,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum virginianum,,,,,,,,,,,,,,,,,,,,,,,,
Polypodium californicum,,,,,,,,,,,,,,,,,,,,,,,,
Polypodium glycyrrhiza,,,,,,,,,,,,,,,,,,,,,,,,
Polystichum acrostichoides,,,,,,,,,,,,,,,,,,,,,,,,
Polystichum munitum,,,,,,,,,,,,,,,,,,,,,,,,
Pontederia cordata,,,,,,,,,,,,,,,,,,,,,,,,
Populus angustifolia,,,,,,,,,,,,,,,,,,,,,,,,
Populus balsamifera,,,,,,,,,,,,,,,,,,,,,,,,
Populus deltoides,,,,,,,,,,,,,,,,,,,,,,,,
Populus fremontii,,,,,,,,,,,,,,,,,,,,,,,,
Populus grandidentata,,,,,,,,,,,,,,,,,,,,,,,,
Populus mexicana,,,,,,,,,,,,,,,,,,,,,,,,
Populus tremuloides,,,,,,,,,,,,,,,,,,,,,,,,
Populus trichocarpa,,,,,,,,,,,,,,,,,,,,,,,,
Porophyllum scoparium,,,,,,,,,,,,,,,,,,,,,,,,
Potentilla anserina,,,,,,,,,,,,,,,,,,,,,,,,
Potentilla arguta,,,,,,,,,,,,,,,,,,,,,,,,
Potentilla fruticosa,,,,,,,,,,,,,,,,,,,,,,,,
Potentilla gracilis,,,,,,,,,,,,,,,,,,,,,,,,
Potentilla uniflora,,,,,,,,,,,,,,,,,,,,,,,,
Pouteria sandwicensis,,,,,,,,,,,,,,,,,,,,,,,,
Prenanthes alba,,,,,,,,,,,,,,,,,,,,,,,,
Prenanthes altissima,,,,,,,,,,,,,,,,,,,,,,,,
Prenanthes racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Prenanthes serpentaria,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia beccariana,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia forbesiana,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia hardyi,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia hillebrandii,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia kaalae,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia lowreyana,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia maideniana,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia martii,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia minor,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia remota,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia schattaueri,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia viscosa,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis glandulosa,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis pubescens,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis velutina,,,,,,,,,,,,,,,,,,,,,,,,
Prunella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,
Prunus americana,,,,,,,,,,,,,,,,,,,,,,,,
Prunus angustifolia,,,,,,,,,,,,,,,,,,,,,,,,
Prunus besseyi,,,,,,,,,,,,,,,,,,,,,,,,
Prunus emarginata,,,,,,,,,,,,,,,,,,,,,,,,
Prunus ilicifolia,,,,,,,,,,,,,,,,,,,,,,,,
Prunus maritima,,,,,,,,,,,,,,,,,,,,,,,,
Prunus pensylvanica,,,,,,,,,,,,,,,,,,,,,,,,
Prunus serotina,,,,,,,,,,,,,,,,,,,,,,,,
Prunus virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Pseudoroegneria spicata,,,,,,,,,,,,,,,,,,,,,,,,
Pseudotsuga menziesii,,,,,,,,,,,,,,,,,,,,,,,,
Psychotria hawaiiensis,,,,,,,,,,,,,,,,,,,,,,,,
Psychotria hexandra,,,,,,,,,,,,,,,,,,,,,,,,
Psychotria mariniana,,,,,,,,,,,,,,,,,,,,,,,,
Psychotria nervosa,,,,,,,,,,,,,,,,,,,,,,,,
Ptelea trifoliata,,,,,,,,,,,,,,,,,,,,,,,,
Pteridium aquilinum,,,,,,,,,,,,,,,,,,,,,,,,
Pterocarpus officinalis,,,,,,,,,,,,,,,,,,,,,,,,
Pulsatilla patens,,,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,,,,,,,,,,,,,,,,,,,,,,,,
Pycnanthemum flexuosum,,,,,,,,,,,,,,,,,,,,,,,,
Pycnanthemum incanum,,,,,,,,,,,,,,,,,,,,,,,,
Pycnanthemum muticum,,,,,,,,,,,,,,,,,,,,,,,,
Pycnanthemum tenuifolium,,,,,,,,,,,,,,,,,,,,,,,,
Pycnanthemum virginianum,,,,,,,,,,,,,,,,,,,,,,,,
Quercus agrifolia,,,,,,,,,,,,,,,,,,,,,,,,
Quercus alba,,,,,,,,,,,,,,,,,,,,,,,,
Quercus berberidifolia,,,,,,,,,,,,,,,,,,,,,,,,
Quercus bicolor,,,,,,,,,,,,,,,,,,,,,,,,
Quercus chrysolepis,,,,,,,,,,,,,,,,,,,,,,,,
Quercus coccinea,,,,,,,,,,,,,,,,,,,,,,,,
Quercus douglasii,,,,,,,,,,,,,,,,,,,,,,,,
Quercus emoryi,,,,,,,,,,,,,,,,,,,,,,,,
Quercus falcata,,,,,,,,,,,,,,,,,,,,,,,,
Quercus gambelii,,,,,,,,,,,,,,,,,,,,,,,,
Quercus garryana,,,,,,,,,,,,,,,,,,,,,,,,
Quercus geminata,,,,,,,,,,,,,,,,,,,,,,,,
Quercus gravesii,,,,,,,,,,,,,,,,,,,,,,,,
Quercus grisea,,,,,,,,,,,,,,,,,,,,,,,,
Quercus hypoleucoides,,,,,,,,,,,,,,,,,,,,,,,,
Quercus laceyi,,,,,,,,,,,,,,,,,,,,,,,,
Quercus laevis,,,,,,,,,,,,,,,,,,,,,,,,
Quercus laurifolia,,,,,,,,,,,,,,,,,,,,,,,,
Quercus lobata,,,,,,,,,,,,,,,,,,,,,,,,
Quercus macrocarpa,,,,,,,,,,,,,,,,,,,,,,,,
Quercus marilandica,,,,,,,,,,,,,,,,,,,,,,,,
Quercus michauxii,,,,,,,,,,,,,,,,,,,,,,,,
Quercus muehlenbergii,,,,,,,,,,,,,,,,,,,,,,,,
Quercus nigra,,,,,,,,,,,,,,,,,,,,,,,,
Quercus palmeri,,,,,,,,,,,,,,,,,,,,,,,,
Quercus palustris,,,,,,,,,,,,,,,,,,,,,,,,
Quercus phellos,,,,,,,,,,,,,,,,,,,,,,,,
Quercus rubra,,,,,,,,,,,,,,,,,,,,,,,,
